Casos,Grado 10,Grado 20,Grado 30,Grado 40,Grado 50,Grado 60,Grado 70,Grado 80,Grado 90,Grado 100,Grado 110,Grado 120,Grado 130,Grado 140,Grado 150,Grado 160,Grado 170,Grado 180,Grado 190,Grado 200,Grado 210,Grado 220,Grado 230,Grado 240,Grado 250,Grado 260,Grado 270,Grado 280,Grado 290,Grado 300,Grado 310,Grado 320,Grado 330,Grado 340,Grado 350,Grado 360,Grado 370,Grado 380,Grado 390,Grado 400,Grado 410,Grado 420,Grado 430,Grado 440,Grado 450,Grado 460,Grado 470,Grado 480,Grado 490,Grado 500,Grado 510,Grado 520,Grado 530,Grado 540,Grado 550,Grado 560,Grado 570,Grado 580,Grado 590,Grado 600,Grado 610,Grado 620,Grado 630,Grado 640,Grado 650,Grado 660,Grado 670,Grado 680,Grado 690,Grado 700,Grado 710,Grado 720,Grado 730,Grado 740,Grado 750,Grado 760,Grado 770,Grado 780,Grado 790,Grado 800,Grado 810,Grado 820,Grado 830,Grado 840,Grado 850,Grado 860,Grado 870,Grado 880,Grado 890,Grado 900,Grado 910,Grado 920,Grado 930,Grado 940,Grado 950,Grado 960,Grado 970,Grado 980,Grado 990,Grado 1000
Caso: 1,0.0000003000,0.0000007000,0.0000011000,0.0000020000,0.0000031000,0.0000043000,0.0000058000,0.0000075000,0.0000097000,0.0000121000,0.0000144000,0.0000198000,0.0000226000,0.0000268000,0.0000273000,0.0000312000,0.0000352000,0.0000395000,0.0000459000,0.0000508000,0.0000591000,0.0000642000,0.0000747000,0.0000690000,0.0000860000,0.0000937000,0.0001003000,0.0001080000,0.0001176000,0.0001239000,0.0001327000,0.0001460000,0.0001505000,0.0001597000,0.0001699000,0.0001796000,0.0001907000,0.0002002000,0.0004619000,0.0002350000,0.0002420000,0.0002429000,0.0002565000,0.0002864000,0.0002756000,0.0003010000,0.0002850000,0.0002986000,0.0003413000,0.0003494000,0.0003671000,0.0004211000,0.0004292000,0.0004044000,0.0004065000,0.0006095000,0.0004413000,0.0004834000,0.0007624000,0.0005110000,0.0005146000,0.0004912000,0.0005325000,0.0005360000,0.0005349000,0.0005645000,0.0005934000,0.0006587000,0.0006842000,0.0007021000,0.0007540000,0.0007506000,0.0008685000,0.0009027000,0.0008115000,0.0008328000,0.0008483000,0.0008713000,0.0009320000,0.0008625000,0.0008531000,0.0008496000,0.0008852000,0.0008772000,0.0009441000,0.0009234000,0.0009230000,0.0009508000,0.0009509000,0.0009763000,0.0011863000,0.0010223000,0.0010977000,0.0010335000,0.0011490000,0.0011084000,0.0011036000,0.0011194000,0.0011613000,0.0011906000
Caso: 2,0.0000001000,0.0000005000,0.0000009000,0.0000018000,0.0000027000,0.0000039000,0.0000053000,0.0000068000,0.0000087000,0.0000107000,0.0000131000,0.0000157000,0.0000182000,0.0000212000,0.0000245000,0.0000279000,0.0000314000,0.0000716000,0.0000398000,0.0000438000,0.0000485000,0.0000536000,0.0000588000,0.0000639000,0.0000692000,0.0000747000,0.0000808000,0.0000870000,0.0000939000,0.0001002000,0.0001067000,0.0001176000,0.0001217000,0.0001293000,0.0001369000,0.0001450000,0.0001538000,0.0001621000,0.0001712000,0.0001801000,0.0001890000,0.0003363000,0.0002958000,0.0003151000,0.0002960000,0.0002988000,0.0003203000,0.0003332000,0.0003023000,0.0003402000,0.0003259000,0.0003470000,0.0003648000,0.0003706000,0.0003815000,0.0003802000,0.0004019000,0.0004252000,0.0003888000,0.0003973000,0.0004013000,0.0004157000,0.0004295000,0.0004464000,0.0004671000,0.0004809000,0.0004853000,0.0005021000,0.0005830000,0.0005319000,0.0005456000,0.0005608000,0.0005801000,0.0005854000,0.0006033000,0.0006110000,0.0006671000,0.0006459000,0.0006659000,0.0006849000,0.0007009000,0.0008066000,0.0008214000,0.0007677000,0.0007911000,0.0008052000,0.0008242000,0.0008471000,0.0008605000,0.0008766000,0.0008996000,0.0009380000,0.0009228000,0.0009465000,0.0009873000,0.0010498000,0.0010245000,0.0010418000,0.0010641000,0.0011825000
Caso: 3,0.0000002000,0.0000005000,0.0000011000,0.0000020000,0.0000030000,0.0000043000,0.0000057000,0.0000076000,0.0000095000,0.0000117000,0.0000141000,0.0000170000,0.0000198000,0.0000231000,0.0000266000,0.0000304000,0.0000341000,0.0000393000,0.0000427000,0.0000475000,0.0000526000,0.0000678000,0.0000812000,0.0000686000,0.0000745000,0.0000838000,0.0000921000,0.0000976000,0.0001048000,0.0001217000,0.0001307000,0.0001390000,0.0001372000,0.0001453000,0.0001557000,0.0001607000,0.0001895000,0.0001726000,0.0001676000,0.0002142000,0.0001973000,0.0001941000,0.0002145000,0.0002518000,0.0002746000,0.0002664000,0.0002426000,0.0002624000,0.0002922000,0.0003357000,0.0003442000,0.0003651000,0.0003980000,0.0004180000,0.0004342000,0.0003652000,0.0003751000,0.0003930000,0.0004629000,0.0004909000,0.0005293000,0.0005577000,0.0005970000,0.0006133000,0.0006564000,0.0005747000,0.0006491000,0.0006396000,0.0006521000,0.0007914000,0.0006751000,0.0007112000,0.0007198000,0.0006590000,0.0006849000,0.0007201000,0.0007304000,0.0007751000,0.0008100000,0.0008008000,0.0008137000,0.0008675000,0.0008578000,0.0008755000,0.0008945000,0.0009257000,0.0009377000,0.0009565000,0.0009799000,0.0013711000,0.0010351000,0.0010526000,0.0010742000,0.0010638000,0.0010859000,0.0011079000,0.0012209000,0.0013911000,0.0012042000,0.0013202000
Caso: 4,0.0000001000,0.0000004000,0.0000011000,0.0000018000,0.0000027000,0.0000040000,0.0000054000,0.0000071000,0.0000091000,0.0000112000,0.0000133000,0.0000160000,0.0000186000,0.0000218000,0.0000252000,0.0000287000,0.0000324000,0.0000366000,0.0000405000,0.0000452000,0.0000500000,0.0000550000,0.0000604000,0.0000657000,0.0000714000,0.0000772000,0.0000831000,0.0000894000,0.0000992000,0.0001141000,0.0001106000,0.0001173000,0.0001247000,0.0001347000,0.0001406000,0.0001493000,0.0001577000,0.0001664000,0.0001753000,0.0001843000,0.0002170000,0.0002050000,0.0002163000,0.0002737000,0.0003556000,0.0002751000,0.0002703000,0.0002823000,0.0002783000,0.0002905000,0.0003047000,0.0003164000,0.0003261000,0.0003388000,0.0003516000,0.0004121000,0.0004220000,0.0004599000,0.0004580000,0.0005186000,0.0004601000,0.0004664000,0.0004778000,0.0004650000,0.0004813000,0.0004966000,0.0005105000,0.0005255000,0.0005430000,0.0005578000,0.0005733000,0.0005926000,0.0006060000,0.0006235000,0.0006320000,0.0006417000,0.0006740000,0.0006820000,0.0006909000,0.0007303000,0.0007576000,0.0007458000,0.0007691000,0.0007834000,0.0008141000,0.0008259000,0.0008340000,0.0008423000,0.0008571000,0.0008797000,0.0008985000,0.0009190000,0.0009366000,0.0009580000,0.0009786000,0.0010007000,0.0010404000,0.0011217000,0.0010820000,0.0010985000
Caso: 5,0.0000002000,0.0000005000,0.0000010000,0.0000017000,0.0000025000,0.0000037000,0.0000050000,0.0000065000,0.0000083000,0.0000102000,0.0000125000,0.0000149000,0.0000176000,0.0000204000,0.0000233000,0.0000265000,0.0000302000,0.0000338000,0.0000378000,0.0000419000,0.0000462000,0.0000522000,0.0000555000,0.0000612000,0.0000652000,0.0000703000,0.0000771000,0.0000904000,0.0000995000,0.0001061000,0.0001247000,0.0001267000,0.0001358000,0.0001635000,0.0001986000,0.0002126000,0.0002380000,0.0001949000,0.0001920000,0.0001982000,0.0002094000,0.0002426000,0.0002266000,0.0002375000,0.0002738000,0.0002492000,0.0002638000,0.0002743000,0.0002932000,0.0002985000,0.0003058000,0.0009323000,0.0003521000,0.0003646000,0.0003787000,0.0003840000,0.0004101000,0.0004340000,0.0004361000,0.0004613000,0.0004755000,0.0004848000,0.0004878000,0.0005144000,0.0005366000,0.0005760000,0.0005982000,0.0005826000,0.0005577000,0.0005592000,0.0005889000,0.0006056000,0.0006181000,0.0008328000,0.0006458000,0.0006574000,0.0006796000,0.0007054000,0.0007263000,0.0007308000,0.0007704000,0.0007472000,0.0007761000,0.0007889000,0.0008033000,0.0008201000,0.0009463000,0.0008583000,0.0008859000,0.0011780000,0.0009337000,0.0009490000,0.0009821000,0.0010323000,0.0010078000,0.0009986000,0.0011536000,0.0010404000,0.0010723000,0.0010926000
Caso: 6,0.0000002000,0.0000004000,0.0000009000,0.0000017000,0.0000026000,0.0000036000,0.0000051000,0.0000066000,0.0000084000,0.0000103000,0.0000123000,0.0000148000,0.0000174000,0.0000203000,0.0000233000,0.0000266000,0.0000300000,0.0000339000,0.0000378000,0.0000421000,0.0000464000,0.0000510000,0.0000560000,0.0000606000,0.0000660000,0.0000714000,0.0000774000,0.0000831000,0.0000911000,0.0000955000,0.0001024000,0.0001089000,0.0001162000,0.0001230000,0.0001318000,0.0001383000,0.0001461000,0.0001551000,0.0001623000,0.0001716000,0.0001801000,0.0001889000,0.0001985000,0.0002082000,0.0002175000,0.0002282000,0.0002368000,0.0002599000,0.0002580000,0.0002685000,0.0003394000,0.0003094000,0.0003582000,0.0003311000,0.0004011000,0.0004287000,0.0003785000,0.0003795000,0.0003861000,0.0003926000,0.0004165000,0.0004158000,0.0004308000,0.0004433000,0.0004733000,0.0004711000,0.0004882000,0.0004993000,0.0005022000,0.0005608000,0.0005369000,0.0005606000,0.0005764000,0.0005955000,0.0006065000,0.0006314000,0.0006288000,0.0006598000,0.0006761000,0.0006809000,0.0007017000,0.0007607000,0.0009282000,0.0008153000,0.0007872000,0.0007929000,0.0008252000,0.0008300000,0.0008598000,0.0008826000,0.0008866000,0.0008860000,0.0009017000,0.0009226000,0.0009628000,0.0009876000,0.0010254000,0.0010429000,0.0010969000,0.0012758000
Caso: 7,0.0000002000,0.0000004000,0.0000009000,0.0000016000,0.0000025000,0.0000036000,0.0000049000,0.0000065000,0.0000084000,0.0000105000,0.0000124000,0.0000148000,0.0000174000,0.0000224000,0.0000606000,0.0000300000,0.0000317000,0.0000338000,0.0000398000,0.0000549000,0.0000521000,0.0000722000,0.0000598000,0.0000652000,0.0000705000,0.0000705000,0.0000793000,0.0000832000,0.0000892000,0.0000957000,0.0001025000,0.0001241000,0.0001158000,0.0001234000,0.0001307000,0.0001413000,0.0001465000,0.0001539000,0.0001627000,0.0001714000,0.0001800000,0.0001907000,0.0001982000,0.0002117000,0.0002122000,0.0002294000,0.0002370000,0.0002487000,0.0002581000,0.0003105000,0.0002799000,0.0003350000,0.0003672000,0.0003139000,0.0003260000,0.0003440000,0.0003503000,0.0003671000,0.0003752000,0.0004053000,0.0004014000,0.0004150000,0.0004340000,0.0004420000,0.0004602000,0.0004711000,0.0004877000,0.0004995000,0.0005191000,0.0005434000,0.0007059000,0.0006983000,0.0006096000,0.0006157000,0.0006194000,0.0006414000,0.0006682000,0.0006638000,0.0006799000,0.0006955000,0.0007148000,0.0007471000,0.0007658000,0.0007958000,0.0008008000,0.0008219000,0.0008424000,0.0008602000,0.0008817000,0.0009227000,0.0009666000,0.0009634000,0.0009870000,0.0010081000,0.0010510000,0.0012350000,0.0012184000,0.0012945000,0.0011793000,0.0011753000
Caso: 8,0.0000002000,0.0000005000,0.0000010000,0.0000018000,0.0000027000,0.0000039000,0.0000053000,0.0000071000,0.0000089000,0.0000112000,0.0000132000,0.0000160000,0.0000189000,0.0000217000,0.0000252000,0.0000291000,0.0000326000,0.0000364000,0.0000409000,0.0000454000,0.0000500000,0.0000552000,0.0000601000,0.0000654000,0.0000712000,0.0000770000,0.0000831000,0.0000893000,0.0000978000,0.0001029000,0.0001102000,0.0001173000,0.0001247000,0.0001333000,0.0001437000,0.0001536000,0.0001635000,0.0001710000,0.0001814000,0.0001896000,0.0002004000,0.0002097000,0.0002192000,0.0002296000,0.0002405000,0.0002515000,0.0002629000,0.0002744000,0.0002863000,0.0002975000,0.0003123000,0.0003221000,0.0003348000,0.0003475000,0.0003644000,0.0003743000,0.0003879000,0.0004035000,0.0004165000,0.0004307000,0.0004467000,0.0004600000,0.0005284000,0.0009083000,0.0005076000,0.0005301000,0.0005480000,0.0005538000,0.0005726000,0.0005740000,0.0005887000,0.0006054000,0.0006361000,0.0006403000,0.0006562000,0.0006788000,0.0006921000,0.0007058000,0.0007297000,0.0007300000,0.0007483000,0.0007605000,0.0007638000,0.0007848000,0.0007883000,0.0008010000,0.0008327000,0.0009298000,0.0008714000,0.0008912000,0.0008864000,0.0009425000,0.0009580000,0.0009429000,0.0009605000,0.0009798000,0.0010126000,0.0010238000,0.0010571000,0.0010636000
Caso: 9,0.0000002000,0.0000004000,0.0000010000,0.0000016000,0.0000025000,0.0000036000,0.0000048000,0.0000063000,0.0000087000,0.0000100000,0.0000120000,0.0000144000,0.0000171000,0.0000198000,0.0000228000,0.0000259000,0.0000291000,0.0000328000,0.0000368000,0.0000408000,0.0000454000,0.0000498000,0.0000543000,0.0000590000,0.0000647000,0.0000731000,0.0000779000,0.0000809000,0.0000870000,0.0000931000,0.0000995000,0.0001092000,0.0001174000,0.0001248000,0.0001346000,0.0001400000,0.0001425000,0.0001505000,0.0001587000,0.0001672000,0.0001773000,0.0001994000,0.0001936000,0.0002050000,0.0002587000,0.0002641000,0.0002635000,0.0002871000,0.0002894000,0.0003099000,0.0003127000,0.0003257000,0.0003633000,0.0003435000,0.0003300000,0.0003642000,0.0003562000,0.0003565000,0.0003805000,0.0003853000,0.0003960000,0.0004059000,0.0004194000,0.0004214000,0.0004469000,0.0004596000,0.0005402000,0.0005557000,0.0005821000,0.0005786000,0.0006189000,0.0005746000,0.0006169000,0.0005767000,0.0006002000,0.0006137000,0.0006917000,0.0006513000,0.0006777000,0.0007208000,0.0007092000,0.0007305000,0.0007654000,0.0008179000,0.0008207000,0.0008950000,0.0008194000,0.0008575000,0.0008478000,0.0008883000,0.0008804000,0.0009059000,0.0009291000,0.0009593000,0.0009570000,0.0009836000,0.0010019000,0.0010245000,0.0011907000,0.0012770000
Caso: 10,0.0000002000,0.0000005000,0.0000012000,0.0000019000,0.0000030000,0.0000044000,0.0000059000,0.0000073000,0.0000094000,0.0000117000,0.0000141000,0.0000166000,0.0000195000,0.0000231000,0.0000381000,0.0000307000,0.0000350000,0.0000396000,0.0000436000,0.0000527000,0.0000660000,0.0000594000,0.0000661000,0.0000696000,0.0000860000,0.0000786000,0.0000954000,0.0000908000,0.0000912000,0.0000952000,0.0001022000,0.0001276000,0.0001367000,0.0001369000,0.0001311000,0.0001412000,0.0001466000,0.0001789000,0.0001643000,0.0001703000,0.0001757000,0.0001845000,0.0001939000,0.0002098000,0.0002158000,0.0002218000,0.0002316000,0.0002460000,0.0002559000,0.0002624000,0.0002730000,0.0003308000,0.0002980000,0.0003155000,0.0003254000,0.0003375000,0.0003502000,0.0003625000,0.0003758000,0.0003883000,0.0004008000,0.0004149000,0.0004286000,0.0004427000,0.0004577000,0.0004702000,0.0004858000,0.0004998000,0.0005143000,0.0005235000,0.0005402000,0.0005608000,0.0007095000,0.0006004000,0.0006108000,0.0006467000,0.0006492000,0.0006901000,0.0007304000,0.0006950000,0.0006805000,0.0007018000,0.0007321000,0.0007724000,0.0007644000,0.0007877000,0.0008052000,0.0008181000,0.0008579000,0.0008641000,0.0008835000,0.0009782000,0.0009425000,0.0010905000,0.0011551000,0.0013050000,0.0010246000,0.0010656000,0.0010667000,0.0010721000
Caso: 11,0.0000002000,0.0000005000,0.0000009000,0.0000017000,0.0000025000,0.0000037000,0.0000051000,0.0000067000,0.0000094000,0.0000101000,0.0000123000,0.0000144000,0.0000171000,0.0000197000,0.0000226000,0.0000260000,0.0000293000,0.0000345000,0.0000380000,0.0000428000,0.0000463000,0.0000509000,0.0000555000,0.0000606000,0.0000664000,0.0000712000,0.0000772000,0.0000830000,0.0000893000,0.0000975000,0.0001030000,0.0001062000,0.0001129000,0.0001201000,0.0001270000,0.0001349000,0.0001426000,0.0001507000,0.0001654000,0.0001690000,0.0001760000,0.0001844000,0.0001938000,0.0002027000,0.0002181000,0.0002216000,0.0002315000,0.0002470000,0.0002603000,0.0002648000,0.0002819000,0.0002877000,0.0003028000,0.0003086000,0.0003189000,0.0003333000,0.0003441000,0.0003540000,0.0003721000,0.0003824000,0.0003919000,0.0004141000,0.0004912000,0.0004476000,0.0004635000,0.0006917000,0.0006647000,0.0005286000,0.0005085000,0.0005264000,0.0005489000,0.0005658000,0.0006190000,0.0006180000,0.0006085000,0.0006145000,0.0006311000,0.0006545000,0.0006724000,0.0006856000,0.0007001000,0.0007218000,0.0007366000,0.0007597000,0.0007843000,0.0008008000,0.0008210000,0.0009267000,0.0009907000,0.0009911000,0.0010493000,0.0009904000,0.0009728000,0.0009449000,0.0009804000,0.0010016000,0.0010205000,0.0010432000,0.0010654000,0.0010878000
Caso: 12,0.0000001000,0.0000004000,0.0000009000,0.0000016000,0.0000027000,0.0000037000,0.0000050000,0.0000065000,0.0000083000,0.0000101000,0.0000124000,0.0000149000,0.0000174000,0.0000204000,0.0000233000,0.0000266000,0.0000301000,0.0000337000,0.0000378000,0.0000417000,0.0000465000,0.0000511000,0.0000553000,0.0000609000,0.0000658000,0.0000714000,0.0000775000,0.0000865000,0.0000955000,0.0000959000,0.0001056000,0.0001098000,0.0001167000,0.0001229000,0.0001379000,0.0001513000,0.0001462000,0.0001543000,0.0001628000,0.0001712000,0.0001801000,0.0002253000,0.0002001000,0.0002072000,0.0002172000,0.0002484000,0.0002727000,0.0002775000,0.0003177000,0.0003428000,0.0003211000,0.0003347000,0.0003780000,0.0003219000,0.0003337000,0.0003518000,0.0003585000,0.0003724000,0.0003960000,0.0003986000,0.0004146000,0.0004276000,0.0004506000,0.0004647000,0.0004965000,0.0004946000,0.0005126000,0.0005253000,0.0005513000,0.0005593000,0.0005728000,0.0005920000,0.0006059000,0.0006269000,0.0006419000,0.0006639000,0.0006941000,0.0007718000,0.0007280000,0.0008504000,0.0008422000,0.0007966000,0.0008142000,0.0008125000,0.0008226000,0.0008412000,0.0008609000,0.0008817000,0.0009012000,0.0009218000,0.0009430000,0.0009629000,0.0009769000,0.0009801000,0.0010045000,0.0010581000,0.0011058000,0.0012279000,0.0011455000,0.0011320000
Caso: 13,0.0000002000,0.0000005000,0.0000010000,0.0000017000,0.0000028000,0.0000039000,0.0000053000,0.0000070000,0.0000088000,0.0000107000,0.0000132000,0.0000157000,0.0000184000,0.0000213000,0.0000245000,0.0000278000,0.0000315000,0.0000357000,0.0000399000,0.0000442000,0.0000493000,0.0000534000,0.0000590000,0.0000641000,0.0000693000,0.0000764000,0.0000808000,0.0000873000,0.0000939000,0.0001002000,0.0001076000,0.0001146000,0.0001217000,0.0001382000,0.0001580000,0.0001435000,0.0001502000,0.0001580000,0.0001665000,0.0001754000,0.0001857000,0.0001936000,0.0002050000,0.0002126000,0.0002227000,0.0002336000,0.0002454000,0.0002536000,0.0002805000,0.0002751000,0.0002964000,0.0002983000,0.0003093000,0.0003228000,0.0003350000,0.0003462000,0.0003606000,0.0003729000,0.0003876000,0.0004289000,0.0004278000,0.0004360000,0.0004528000,0.0004653000,0.0004971000,0.0005456000,0.0005139000,0.0005851000,0.0006024000,0.0006141000,0.0005854000,0.0005889000,0.0005972000,0.0006071000,0.0006091000,0.0006909000,0.0006767000,0.0006834000,0.0006794000,0.0006934000,0.0007143000,0.0007425000,0.0007456000,0.0007631000,0.0007826000,0.0008001000,0.0008227000,0.0008832000,0.0008670000,0.0008788000,0.0008971000,0.0009831000,0.0010709000,0.0011145000,0.0010070000,0.0010152000,0.0010031000,0.0010179000,0.0010382000,0.0010712000
Caso: 14,0.0000002000,0.0000004000,0.0000009000,0.0000016000,0.0000025000,0.0000037000,0.0000050000,0.0000066000,0.0000082000,0.0000103000,0.0000125000,0.0000150000,0.0000172000,0.0000202000,0.0000243000,0.0000267000,0.0000288000,0.0000322000,0.0000363000,0.0000417000,0.0000466000,0.0000519000,0.0000700000,0.0000715000,0.0000955000,0.0000703000,0.0000750000,0.0000832000,0.0000948000,0.0000913000,0.0000977000,0.0001037000,0.0001104000,0.0001337000,0.0001299000,0.0001347000,0.0001425000,0.0001512000,0.0001590000,0.0002670000,0.0002236000,0.0001924000,0.0002054000,0.0002425000,0.0002339000,0.0002216000,0.0002317000,0.0002503000,0.0002602000,0.0002637000,0.0002759000,0.0002838000,0.0003022000,0.0003106000,0.0003254000,0.0003405000,0.0003511000,0.0003657000,0.0004882000,0.0003890000,0.0004080000,0.0004162000,0.0004328000,0.0004444000,0.0004555000,0.0004703000,0.0004850000,0.0005084000,0.0005366000,0.0005274000,0.0005411000,0.0005647000,0.0005761000,0.0005958000,0.0006089000,0.0006373000,0.0006431000,0.0006592000,0.0006882000,0.0006958000,0.0007121000,0.0007286000,0.0007779000,0.0007651000,0.0007995000,0.0009284000,0.0010047000,0.0010026000,0.0008808000,0.0009039000,0.0009729000,0.0009477000,0.0009391000,0.0009595000,0.0009819000,0.0010173000,0.0010196000,0.0010502000,0.0010544000,0.0010765000
Caso: 15,0.0000002000,0.0000004000,0.0000008000,0.0000017000,0.0000025000,0.0000037000,0.0000049000,0.0000064000,0.0000079000,0.0000098000,0.0000122000,0.0000145000,0.0000169000,0.0000198000,0.0000227000,0.0000260000,0.0000293000,0.0000330000,0.0000377000,0.0000414000,0.0000452000,0.0000498000,0.0000546000,0.0000591000,0.0000642000,0.0000693000,0.0000751000,0.0001050000,0.0001030000,0.0001075000,0.0001144000,0.0001217000,0.0001306000,0.0001382000,0.0001466000,0.0001674000,0.0001646000,0.0001766000,0.0001943000,0.0002094000,0.0002185000,0.0002228000,0.0002231000,0.0002432000,0.0002724000,0.0002685000,0.0002670000,0.0002789000,0.0002909000,0.0003122000,0.0003164000,0.0003268000,0.0003427000,0.0003138000,0.0003295000,0.0003438000,0.0003531000,0.0003555000,0.0003723000,0.0003872000,0.0004009000,0.0004164000,0.0004293000,0.0004367000,0.0004533000,0.0004889000,0.0004829000,0.0004947000,0.0005169000,0.0005292000,0.0005459000,0.0005591000,0.0005663000,0.0005920000,0.0005989000,0.0006257000,0.0006432000,0.0006592000,0.0006850000,0.0006945000,0.0008840000,0.0008300000,0.0008375000,0.0008058000,0.0008344000,0.0008652000,0.0008232000,0.0008210000,0.0008796000,0.0008994000,0.0008970000,0.0009033000,0.0009224000,0.0009429000,0.0009711000,0.0010049000,0.0010298000,0.0010650000,0.0011090000,0.0010889000
Caso: 16,0.0000001000,0.0000004000,0.0000010000,0.0000017000,0.0000026000,0.0000036000,0.0000049000,0.0000066000,0.0000084000,0.0000102000,0.0000123000,0.0000148000,0.0000174000,0.0000202000,0.0000265000,0.0000265000,0.0000301000,0.0000338000,0.0000377000,0.0000419000,0.0000464000,0.0000509000,0.0000555000,0.0000607000,0.0000657000,0.0000711000,0.0000779000,0.0000833000,0.0000890000,0.0000956000,0.0001082000,0.0001084000,0.0001158000,0.0001241000,0.0001304000,0.0001383000,0.0001461000,0.0001576000,0.0001626000,0.0001717000,0.0001803000,0.0001893000,0.0001987000,0.0002346000,0.0002172000,0.0002270000,0.0002382000,0.0002543000,0.0002575000,0.0002759000,0.0002867000,0.0002979000,0.0003184000,0.0003211000,0.0003336000,0.0003510000,0.0003610000,0.0003731000,0.0003876000,0.0003999000,0.0004152000,0.0004249000,0.0004478000,0.0004647000,0.0004840000,0.0004946000,0.0005600000,0.0005250000,0.0005448000,0.0005597000,0.0005797000,0.0006048000,0.0006300000,0.0006233000,0.0006519000,0.0006636000,0.0006769000,0.0006960000,0.0008022000,0.0007561000,0.0007698000,0.0007935000,0.0008037000,0.0008257000,0.0008238000,0.0008441000,0.0008665000,0.0008826000,0.0009009000,0.0009250000,0.0009526000,0.0010393000,0.0011820000,0.0011297000,0.0010720000,0.0010163000,0.0010234000,0.0010568000,0.0010640000,0.0010809000
Caso: 17,0.0000002000,0.0000004000,0.0000010000,0.0000018000,0.0000026000,0.0000037000,0.0000050000,0.0000067000,0.0000084000,0.0000101000,0.0000123000,0.0000148000,0.0000176000,0.0000201000,0.0000236000,0.0000267000,0.0000301000,0.0000338000,0.0000380000,0.0000421000,0.0000466000,0.0000509000,0.0000558000,0.0000609000,0.0000660000,0.0000731000,0.0000753000,0.0000814000,0.0000873000,0.0000948000,0.0001000000,0.0001108000,0.0001216000,0.0001222000,0.0001332000,0.0001369000,0.0001425000,0.0001505000,0.0001585000,0.0002073000,0.0001844000,0.0001863000,0.0001938000,0.0002028000,0.0002117000,0.0002216000,0.0002324000,0.0002469000,0.0002518000,0.0002620000,0.0002768000,0.0003671000,0.0003263000,0.0003099000,0.0003267000,0.0003296000,0.0003515000,0.0003712000,0.0003767000,0.0004020000,0.0004107000,0.0004355000,0.0004240000,0.0004404000,0.0005187000,0.0004830000,0.0004855000,0.0005077000,0.0005062000,0.0005203000,0.0005202000,0.0005358000,0.0005835000,0.0005775000,0.0005902000,0.0006166000,0.0006301000,0.0006522000,0.0006603000,0.0006848000,0.0007089000,0.0007275000,0.0007471000,0.0007670000,0.0007817000,0.0008211000,0.0008246000,0.0008770000,0.0008781000,0.0008825000,0.0009022000,0.0009235000,0.0009434000,0.0009600000,0.0010097000,0.0010023000,0.0010252000,0.0010587000,0.0010679000,0.0010898000
Caso: 18,0.0000002000,0.0000004000,0.0000009000,0.0000017000,0.0000026000,0.0000036000,0.0000051000,0.0000067000,0.0000082000,0.0000103000,0.0000124000,0.0000150000,0.0000174000,0.0000223000,0.0000235000,0.0000268000,0.0000302000,0.0000337000,0.0000379000,0.0000444000,0.0000498000,0.0000519000,0.0000568000,0.0000625000,0.0000727000,0.0000732000,0.0000790000,0.0000849000,0.0000914000,0.0000978000,0.0001048000,0.0001118000,0.0001183000,0.0001262000,0.0001425000,0.0001414000,0.0001498000,0.0001584000,0.0001665000,0.0001754000,0.0002155000,0.0002246000,0.0002259000,0.0002472000,0.0004644000,0.0003233000,0.0003365000,0.0003432000,0.0003551000,0.0003678000,0.0003204000,0.0003233000,0.0003105000,0.0003221000,0.0003358000,0.0003466000,0.0003605000,0.0003935000,0.0003848000,0.0003979000,0.0004129000,0.0004254000,0.0004393000,0.0004529000,0.0004675000,0.0004815000,0.0004971000,0.0005121000,0.0005301000,0.0005481000,0.0005729000,0.0005928000,0.0006055000,0.0006234000,0.0006399000,0.0006610000,0.0006751000,0.0007015000,0.0008021000,0.0007325000,0.0007480000,0.0007890000,0.0007950000,0.0008186000,0.0008250000,0.0008499000,0.0008868000,0.0009065000,0.0009254000,0.0009467000,0.0009675000,0.0009883000,0.0010127000,0.0010332000,0.0010809000,0.0011373000,0.0012329000,0.0012949000,0.0013260000,0.0012383000
